 ,Label,Area,Mean,Min,Max
1,D66 RB 0.jpg,77,3.8571,-30.8978,25.7398
2,D66 RB 0.jpg,342,17.0549,-34.2646,65.8260
3,D66 RB 0.jpg,412,20.1685,-34.7980,57.2333
4,D66 RB 0.jpg,323,17.8945,-40.6652,55.2855
5,D66 RB 0.jpg,98,6.6335,-25.7309,27.2148
6,D66 RB 0.jpg,128,0.2592,-33.3156,34.5809
7,D66 RB 0.jpg,54,12.0785,-24.9711,39.5773
8,D66 RB 0.jpg,84,5.8088,-19.1522,24.9780
9,D66 RB 0.jpg,17,10.8742,-9.1592,24.7619
10,D66 RB 0.jpg,337,16.1435,-26.7449,64.0628
11,D66 RB 0.jpg,163,15.9312,-28.4246,47.4378
12,D66 RB 0.jpg,353,14.7183,-36.7990,60.9808
13,D66 RB 0.jpg,228,14.1902,-24.8362,57.0781
14,D66 RB 0.jpg,23,5.1150,-2.1200,13.4603
15,D66 RB 0.jpg,208,7.2331,-22.0474,47.0675
16,D66 RB 0.jpg,109,-2.2985,-20.9253,7.0240
17,D66 RB 0.jpg,396,13.0290,-43.7626,65.0172
18,D66 RB 0.jpg,415,14.7901,-33.5757,56.3272
19,D66 RB 0.jpg,466,14.9412,-40.6166,56.2973
20,D66 RB 0.jpg,271,16.1925,-29.5311,57.0238
21,D66 RB 0.jpg,609,14.5639,-25.3969,70.2124
22,D66 RB 0.jpg,348,15.6693,-51.1250,61.6500
23,D66 RB 0.jpg,188,15.5593,-21.6457,52.8814
24,D66 RB 0.jpg,504,11.5905,-37.3593,59.0979
25,D66 RB 0.jpg,355,12.0212,-26.6340,57.5207
26,D66 RB 0.jpg,473,13.1084,-29.9072,53.3552
27,D66 RB 0.jpg,640,12.5527,-50.1923,67.1820
28,D66 RB 0.jpg,471,14.2958,-35.5209,69.2263
29,D66 RB 0.jpg,305,15.7552,-40.7151,64.7544
30,D66 RB 0.jpg,619,13.2765,-39.1384,60.3090
31,D66 RB 0.jpg,380,14.1386,-44.0910,54.1013
32,D66 RB 0.jpg,389,18.3950,-27.4009,54.9107
33,D66 RB 0.jpg,410,22.1962,-26.4414,58.7944
34,D66 RB 0.jpg,365,24.2173,-28.7825,54.7287
35,D66 RB 0.jpg,426,17.8128,-30.6516,57.0611
36,D66 RB 0.jpg,2,4.6352,2.8307,6.4397
37,D66 RB 0.jpg,724,13.4774,-54.2260,67.7290
38,D66 RB 0.jpg,457,11.7255,-31.4066,48.9833
39,D66 RB 0.jpg,363,11.1224,-36.3516,64.5899
40,D66 RB 0.jpg,553,13.8826,-27.3937,61.0022
41,D66 RB 0.jpg,613,17.6828,-54.3703,63.8952
42,D66 RB 0.jpg,711,9.9394,-34.5893,51.7794
43,D66 RB 0.jpg,700,8.2688,-61.5961,54.5458
44,D66 RB 0.jpg,266,10.5121,-28.1847,50.2513
45,D66 RB 0.jpg,810,18.7464,-47.6598,62.6748
46,D66 RB 0.jpg,284,26.0888,-16.8668,60.3426
47,D66 RB 0.jpg,328,17.8195,-51.0641,64.4925
48,D66 RB 0.jpg,359,7.8816,-22.4563,61.7203
49,D66 RB 0.jpg,366,17.1976,-37.4571,54.7699
50,D66 RB 0.jpg,486,10.1003,-33.4846,56.4178
51,D66 RB 0.jpg,290,18.9740,-29.9213,60.5645
52,D66 RB 0.jpg,585,17.1241,-24.1294,60.2355
53,D66 RB 0.jpg,355,18.3497,-26.5374,56.0917
54,D66 RB 0.jpg,442,12.5100,-51.7116,59.1721
55,D66 RB 0.jpg,471,6.6869,-33.1220,52.1903
