 ,Label,Area,Mean,Min,Max
1,D66 RB 0.jpg,82,4.1091,-30.8978,25.7398
2,D66 RB 0.jpg,359,16.1990,-34.2646,65.8260
3,D66 RB 0.jpg,439,19.3012,-34.7980,57.2333
4,D66 RB 0.jpg,336,17.3020,-40.6652,55.2855
5,D66 RB 0.jpg,103,7.1573,-25.7309,27.2148
6,D66 RB 0.jpg,132,1.2383,-33.3156,34.5809
7,D66 RB 0.jpg,54,10.8541,-24.9711,39.5773
8,D66 RB 0.jpg,87,6.6355,-19.1522,27.8664
9,D66 RB 0.jpg,9,10.7558,2.8092,16.2906
10,D66 RB 0.jpg,352,15.3425,-26.7449,64.0628
11,D66 RB 0.jpg,171,14.9457,-28.4246,47.4378
12,D66 RB 0.jpg,375,14.6567,-36.7990,61.2776
13,D66 RB 0.jpg,239,13.6104,-24.8362,57.0781
14,D66 RB 0.jpg,18,5.9118,1.0736,13.4603
15,D66 RB 0.jpg,215,7.1547,-22.0474,47.0675
16,D66 RB 0.jpg,118,-1.7837,-20.9253,11.0051
17,D66 RB 0.jpg,409,12.6075,-43.7626,65.0172
18,D66 RB 0.jpg,431,14.2471,-33.5757,56.3272
19,D66 RB 0.jpg,490,14.3302,-40.6166,56.2973
20,D66 RB 0.jpg,293,17.3554,-29.5311,57.0238
21,D66 RB 0.jpg,623,14.6041,-25.3969,70.2124
22,D66 RB 0.jpg,381,16.8963,-51.1250,65.5216
23,D66 RB 0.jpg,203,16.1993,-21.6457,52.8814
24,D66 RB 0.jpg,524,11.2125,-37.3593,59.0979
25,D66 RB 0.jpg,362,11.7524,-26.6340,57.5207
26,D66 RB 0.jpg,484,12.6974,-29.9072,53.3552
27,D66 RB 0.jpg,662,12.2452,-50.1923,67.1820
28,D66 RB 0.jpg,490,13.8995,-35.5209,69.2263
29,D66 RB 0.jpg,343,17.3570,-40.7151,64.7544
30,D66 RB 0.jpg,634,12.9231,-39.1384,60.3090
31,D66 RB 0.jpg,393,13.6077,-44.0910,54.1013
32,D66 RB 0.jpg,786,20.6372,-28.7825,54.9107
33,D66 RB 0.jpg,425,21.7821,-26.4414,58.7944
34,D66 RB 0.jpg,445,17.3420,-30.6516,57.0611
35,D66 RB 0.jpg,743,13.4370,-54.2260,67.7290
36,D66 RB 0.jpg,476,11.1020,-31.4066,48.9833
37,D66 RB 0.jpg,391,12.1376,-36.3516,64.5899
38,D66 RB 0.jpg,576,13.3210,-27.3937,61.0022
39,D66 RB 0.jpg,648,16.9625,-54.3703,63.8952
40,D66 RB 0.jpg,741,9.8739,-34.5893,51.7794
41,D66 RB 0.jpg,732,8.1124,-61.5961,54.5458
42,D66 RB 0.jpg,290,12.3510,-28.1847,50.2513
43,D66 RB 0.jpg,840,18.1961,-47.6598,62.6748
44,D66 RB 0.jpg,294,25.5220,-16.8668,60.3426
45,D66 RB 0.jpg,334,17.6007,-51.0641,64.4925
46,D66 RB 0.jpg,379,7.6981,-22.4563,61.7203
47,D66 RB 0.jpg,381,16.8474,-37.4571,54.7699
48,D66 RB 0.jpg,495,9.8907,-33.4846,56.4178
49,D66 RB 0.jpg,304,19.4767,-29.9213,60.5645
50,D66 RB 0.jpg,597,16.9560,-24.1294,60.2355
51,D66 RB 0.jpg,362,18.1166,-26.5374,56.0917
52,D66 RB 0.jpg,465,11.9603,-51.7116,59.1721
53,D66 RB 0.jpg,488,6.3877,-33.1220,52.1903
54,D66 RB 0.jpg,173,-3.4933,-50.8636,39.3270
55,D66 RB 0.jpg,186,17.4811,-20.8113,65.0043
56,D66 RB 0.jpg,500,7.2645,-33.9038,64.0409
57,D66 RB 0.jpg,460,19.4587,-39.3925,61.1640
58,D66 RB 0.jpg,473,3.6036,-31.1432,52.5531
59,D66 RB 0.jpg,584,5.1867,-55.9023,61.3621
60,D66 RB 0.jpg,621,5.2280,-42.2453,58.7565
61,D66 RB 0.jpg,128,13.7221,-26.8429,55.1432
62,D66 RB 0.jpg,444,10.2145,-44.2670,59.3480
63,D66 RB 0.jpg,454,17.8071,-31.7287,54.8886
64,D66 RB 0.jpg,349,12.0654,-47.4543,63.6005
65,D66 RB 0.jpg,478,6.6283,-30.7510,50.7388
66,D66 RB 0.jpg,563,1.7224,-53.4256,58.8455
67,D66 RB 0.jpg,485,19.5086,-17.3817,56.1779
68,D66 RB 0.jpg,393,15.7014,-54.0234,67.5151
69,D66 RB 0.jpg,318,20.7142,-40.8939,49.3204
70,D66 RB 0.jpg,432,15.9550,-34.3245,56.0229
71,D66 RB 0.jpg,310,21.0257,-28.0380,61.8604
72,D66 RB 0.jpg,659,7.6256,-47.5152,59.6046
73,D66 RB 0.jpg,224,7.6127,-30.1404,49.4277
74,D66 RB 0.jpg,607,7.6703,-44.1436,47.3672
75,D66 RB 0.jpg,958,13.5732,-42.2493,71.5530
