 ,Area,Mean,Min,Max,Image
1,359.0000,11.8586,-40.3939,63.8761,0.jpg
2,436.0000,15.0122,-40.8926,54.5967,0.jpg
3,336.0000,12.9207,-47.3371,52.7424,0.jpg
4,103.0000,2.2406,-31.3261,23.1079,0.jpg
5,132.0000,-4.0912,-39.0330,31.1759,0.jpg
6,87.0000,1.4865,-24.9030,23.7824,0.jpg
7,352.0000,10.7216,-32.8245,62.0452,0.jpg
8,171.0000,10.3671,-34.8387,44.1326,0.jpg
9,375.0000,10.0114,-42.7689,59.2017,0.jpg
10,239.0000,8.8945,-30.9512,54.5134,0.jpg
11,215.0000,2.2423,-27.8308,44.4184,0.jpg
12,118.0000,-7.2591,-27.1670,6.5547,0.jpg
13,409.0000,8.0463,-49.7670,62.9591,0.jpg
14,431.0000,9.7217,-39.8461,53.6130,0.jpg
15,490.0000,9.7327,-46.6734,53.6796,0.jpg
16,293.0000,13.0845,-35.5912,54.9737,0.jpg
17,623.0000,9.9620,-30.9242,68.7954,0.jpg
18,380.0000,12.5205,-57.6156,63.4191,0.jpg
19,201.0000,11.8332,-27.2166,50.6786,0.jpg
20,524.0000,6.4312,-44.0308,57.0607,0.jpg
21,362.0000,7.0819,-33.0113,54.8794,0.jpg
22,484.0000,7.9684,-36.1175,51.2273,0.jpg
23,662.0000,7.5836,-56.6836,65.2557,0.jpg
24,490.0000,9.2558,-41.6227,67.4282,0.jpg
25,343.0000,13.0604,-46.6843,62.6975,0.jpg
26,633.0000,8.2589,-45.0668,57.7543,0.jpg
27,392.0000,9.0929,-50.6459,51.5558,0.jpg
28,787.0000,16.3528,-35.2561,52.8822,0.jpg
29,425.0000,17.5067,-32.2124,56.1748,0.jpg
30,445.0000,12.8970,-37.0097,54.9395,0.jpg
31,743.0000,8.8034,-60.3482,66.2540,0.jpg
32,475.0000,6.4402,-37.3908,45.6906,0.jpg
33,391.0000,7.4434,-42.5607,62.5592,0.jpg
34,576.0000,8.6831,-33.6950,58.9959,0.jpg
35,647.0000,12.4948,-60.4731,61.4288,0.jpg
36,741.0000,4.9789,-41.3891,49.0855,0.jpg
37,732.0000,3.2121,-67.9883,51.9017,0.jpg
38,290.0000,7.7540,-33.8876,47.5991,0.jpg
39,840.0000,13.7352,-53.4259,60.6329,0.jpg
40,294.0000,21.2828,-22.3173,58.2972,0.jpg
41,334.0000,13.2899,-56.5457,62.4614,0.jpg
42,378.0000,2.8228,-28.6802,59.8340,0.jpg
43,381.0000,12.4232,-43.6306,52.1780,0.jpg
44,495.0000,5.1218,-39.4996,54.3099,0.jpg
45,303.0000,15.2310,-36.2039,58.4014,0.jpg
46,597.0000,12.4330,-31.1506,58.1470,0.jpg
47,362.0000,13.7589,-32.8559,53.4048,0.jpg
48,465.0000,7.3562,-58.1751,57.0560,0.jpg
49,487.0000,1.4500,-40.2909,49.5382,0.jpg
50,172.0000,-8.7292,-56.7316,36.1269,0.jpg
51,186.0000,13.1411,-26.5397,62.9554,0.jpg
52,500.0000,2.3754,-40.6852,61.9671,0.jpg
53,458.0000,15.2679,-45.3074,59.0569,0.jpg
54,473.0000,-1.4649,-37.8745,49.8715,0.jpg
55,584.0000,0.1773,-62.2722,59.2859,0.jpg
56,620.0000,0.1643,-48.9732,56.2128,0.jpg
57,128.0000,9.2939,-32.6072,52.5259,0.jpg
58,444.0000,5.4313,-51.1074,57.2733,0.jpg
59,454.0000,13.3843,-37.7417,52.1262,0.jpg
60,348.0000,7.5491,-53.4395,61.5883,0.jpg
61,478.0000,1.7082,-36.9516,48.0533,0.jpg
62,563.0000,-3.4497,-58.8439,56.3607,0.jpg
63,484.0000,15.2026,-23.1216,53.4918,0.jpg
64,393.0000,11.2709,-60.4412,65.4725,0.jpg
65,319.0000,16.4130,-46.9552,46.5653,0.jpg
66,431.0000,11.4893,-39.8794,53.8195,0.jpg
67,310.0000,16.8478,-33.5751,59.8105,0.jpg
68,659.0000,2.6600,-54.0929,57.5934,0.jpg
69,224.0000,2.9203,-36.5579,46.8660,0.jpg
70,606.0000,2.8259,-49.8296,44.1270,0.jpg
71,958.0000,8.7899,-49.0630,69.6786,0.jpg
72,212.0000,15.1162,-44.4836,60.3492,0.jpg
73,291.0000,18.9382,-42.2478,53.7248,0.jpg
74,222.0000,17.7018,-38.0179,57.8075,0.jpg
75,454.0000,14.8228,-47.3503,64.0017,0.jpg
76,308.0000,18.5210,-21.9118,48.2555,0.jpg
77,527.0000,8.0817,-45.9554,52.1852,0.jpg
78,273.0000,15.0725,-24.5955,53.7227,0.jpg
79,245.0000,18.8405,-29.2034,58.6708,0.jpg
80,288.0000,16.3185,-21.7038,49.8463,0.jpg
81,312.0000,8.0655,-39.2625,55.8280,0.jpg
82,504.0000,9.5758,-42.1896,58.1432,0.jpg
83,213.0000,4.2177,-45.6459,62.8344,0.jpg
84,459.0000,12.1682,-38.6167,62.5920,0.jpg
85,537.0000,-0.8702,-58.8333,57.2460,0.jpg
86,692.0000,5.1176,-51.1972,59.8612,0.jpg
87,347.0000,5.3846,-33.5505,49.0037,0.jpg
88,552.0000,14.9159,-47.3500,56.0663,0.jpg
89,529.0000,11.5688,-42.5039,65.8931,0.jpg
90,285.0000,14.2174,-52.4316,61.2281,0.jpg
91,492.0000,1.5277,-47.0886,39.1973,0.jpg
92,263.0000,4.0628,-37.7336,53.4885,0.jpg
93,541.0000,4.5589,-44.9637,54.1858,0.jpg
94,524.0000,18.2446,-45.9508,71.5089,0.jpg
95,445.0000,-4.9490,-37.2843,37.2039,0.jpg
96,286.0000,6.4104,-43.3200,52.6064,0.jpg
97,537.0000,6.5925,-45.7580,62.4026,0.jpg
