 ,Area,Mean,Min,Max,Image
1,81,-1.0886,-37.1648,20.7834,0.jpg
2,344,10.6763,-40.3939,63.8761,0.jpg
3,436,15.0055,-40.8926,54.5967,0.jpg
4,336,12.9112,-47.3371,52.7424,0.jpg
5,103,2.2337,-31.3261,23.1079,0.jpg
6,132,-4.0967,-39.0330,31.1759,0.jpg
7,54,5.9239,-31.7004,36.2305,0.jpg
8,87,1.4865,-24.9030,23.7824,0.jpg
9,352,10.7119,-32.8245,62.0452,0.jpg
10,171,10.3505,-34.8387,44.1326,0.jpg
11,375,10.0058,-42.7689,59.2017,0.jpg
12,239,8.8853,-30.9512,54.5134,0.jpg
13,15,0.9582,-4.4652,8.8067,0.jpg
14,215,2.2350,-27.8308,44.4184,0.jpg
15,118,-7.2758,-27.1670,6.5547,0.jpg
16,409,8.0330,-49.7670,62.9591,0.jpg
17,431,9.7184,-39.8461,53.6130,0.jpg
18,490,9.7213,-46.6734,53.6796,0.jpg
19,293,13.0775,-35.5912,54.9737,0.jpg
20,298,12.0884,-25.2683,68.7954,0.jpg
21,370,11.8846,-57.6156,63.4191,0.jpg
22,201,11.8292,-27.2166,50.6786,0.jpg
23,524,6.4217,-44.0308,57.0607,0.jpg
24,362,7.0760,-33.0113,54.8794,0.jpg
25,484,7.9551,-36.1175,51.2273,0.jpg
26,302,8.3810,-30.9242,51.5058,0.jpg
27,640,6.9229,-56.6836,62.1848,0.jpg
28,490,9.2514,-41.6227,67.4282,0.jpg
29,343,13.0511,-46.6843,62.6975,0.jpg
30,633,8.2541,-45.0668,57.7543,0.jpg
31,392,9.0789,-50.6459,51.5558,0.jpg
32,405,13.5166,-33.9578,52.7694,0.jpg
33,425,17.5037,-32.2124,56.1748,0.jpg
34,378,19.5145,-35.2561,52.8822,0.jpg
35,445,12.8938,-37.0097,54.9395,0.jpg
36,381,6.6425,-60.3482,66.2540,0.jpg
37,475,6.4337,-37.3908,45.6906,0.jpg
38,391,7.4324,-42.5607,62.5592,0.jpg
39,576,8.6782,-33.6950,58.9959,0.jpg
40,647,12.4804,-60.4731,61.4288,0.jpg
41,335,11.8532,-34.4915,61.1756,0.jpg
42,343,2.5410,-41.3891,49.0855,0.jpg
43,336,-8.5674,-67.9883,27.6027,0.jpg
44,281,7.3169,-33.8876,47.5991,0.jpg
45,434,5.7017,-53.4259,53.2846,0.jpg
46,363,6.2876,-30.1368,43.4284,0.jpg
47,294,21.2753,-22.3173,58.2972,0.jpg
48,334,13.2861,-56.5457,62.4614,0.jpg
49,378,23.1448,-33.8692,60.6329,0.jpg
50,367,13.8014,-24.6305,51.9017,0.jpg
