 ,Area,Mean,Min,Max,Image
1,85,87.0000,0,255,0.jpg
2,359,80.2646,0,255,0.jpg
3,441,127.2109,0,255,0.jpg
4,336,148.7500,0,255,0.jpg
5,107,95.3271,0,255,0.jpg
6,137,61.4234,0,255,0.jpg
7,57,98.4211,0,255,0.jpg
8,91,81.2637,0,255,0.jpg
9,16,111.5625,0,255,0.jpg
10,352,106.4915,0,255,0.jpg
11,173,156.2428,0,255,0.jpg
12,375,100.6400,0,255,0.jpg
13,239,105.6276,0,255,0.jpg
14,25,0.0000,0,0,0.jpg
15,215,68.7907,0,255,0.jpg
16,120,0.0000,0,0,0.jpg
17,411,102.9927,0,255,0.jpg
18,431,118.3295,0,255,0.jpg
19,491,131.3951,0,255,0.jpg
20,293,75.7167,0,255,0.jpg
21,625,97.5120,0,255,0.jpg
22,381,123.1496,0,255,0.jpg
23,203,108.0296,0,255,0.jpg
24,526,103.2605,0,255,0.jpg
25,363,85.0000,0,255,0.jpg
26,486,99.1667,0,255,0.jpg
27,662,92.4471,0,255,0.jpg
28,490,124.8980,0,255,0.jpg
29,343,84.0087,0,255,0.jpg
30,634,103.7697,0,255,0.jpg
31,393,105.1145,0,255,0.jpg
32,789,111.8251,0,255,0.jpg
33,425,141.6000,0,255,0.jpg
34,445,113.4607,0,255,0.jpg
35,743,113.6003,0,255,0.jpg
36,476,136.6071,0,255,0.jpg
37,391,79.5652,0,255,0.jpg
38,576,110.2344,0,255,0.jpg
39,648,140.0926,0,255,0.jpg
40,741,92.5709,0,255,0.jpg
41,732,118.4426,0,255,0.jpg
42,291,60.4639,0,255,0.jpg
43,840,146.3214,0,255,0.jpg
44,294,183.0102,0,255,0.jpg
45,336,110.0446,0,255,0.jpg
46,380,77.8421,0,255,0.jpg
47,381,108.4252,0,255,0.jpg
48,497,90.8149,0,255,0.jpg
49,307,101.3355,0,255,0.jpg
50,599,127.7129,0,255,0.jpg
51,362,101.4365,0,255,0.jpg
52,465,134.3548,0,255,0.jpg
53,488,83.6066,0,255,0.jpg
54,175,74.3143,0,255,0.jpg
55,190,102.0000,0,255,0.jpg
56,501,72.7844,0,255,0.jpg
57,460,122.5109,0,255,0.jpg
58,473,66.3108,0,255,0.jpg
59,586,85.7253,0,255,0.jpg
60,624,81.3221,0,255,0.jpg
61,130,80.4231,0,255,0.jpg
62,444,94.7635,0,255,0.jpg
63,456,125.2632,0,255,0.jpg
64,349,84.7564,0,255,0.jpg
65,478,76.8201,0,255,0.jpg
66,563,75.1865,0,255,0.jpg
67,486,97.5926,0,255,0.jpg
68,393,99.2748,0,255,0.jpg
69,318,111.4623,0,255,0.jpg
70,433,118.9607,0,255,0.jpg
71,310,120.0968,0,255,0.jpg
72,659,97.5114,0,255,0.jpg
73,226,62.0575,0,255,0.jpg
74,607,110.4860,0,255,0.jpg
75,958,106.2056,0,255,0.jpg
76,216,101.5278,0,255,0.jpg
77,225,133.7333,0,255,0.jpg
78,455,141.7912,0,255,0.jpg
79,292,109.1610,0,255,0.jpg
80,528,117.3580,0,255,0.jpg
81,308,120.0487,0,255,0.jpg
82,273,90.6044,0,255,0.jpg
83,247,145.5668,0,255,0.jpg
84,288,92.9688,0,255,0.jpg
85,313,86.3578,0,255,0.jpg
86,504,112.8274,0,255,0.jpg
87,218,52.6376,0,255,0.jpg
88,538,76.3104,0,255,0.jpg
89,460,109.7609,0,255,0.jpg
90,694,105.8213,0,255,0.jpg
91,346,53.0636,0,255,0.jpg
92,552,151.9837,0,255,0.jpg
93,529,109.4234,0,255,0.jpg
94,285,128.8421,0,255,0.jpg
95,494,93.9474,0,255,0.jpg
96,264,71.4773,0,255,0.jpg
97,542,116.2085,0,255,0.jpg
98,524,127.9866,0,255,0.jpg
99,446,62.8924,0,255,0.jpg
100,287,79.9652,0,255,0.jpg
101,539,91.3080,0,255,0.jpg
102,379,123.7995,0,255,0.jpg
103,96,0.0000,0,0,0.jpg
104,396,84.3561,0,255,0.jpg
105,458,140.8624,0,255,0.jpg
106,700,129.3214,0,255,0.jpg
107,336,94.8661,0,255,0.jpg
108,419,80.3341,0,255,0.jpg
109,292,123.1336,0,255,0.jpg
110,582,137.5773,0,255,0.jpg
111,309,104.8058,0,255,0.jpg
112,331,120.9517,0,255,0.jpg
113,254,76.2992,0,255,0.jpg
114,596,124.5050,0,255,0.jpg
115,303,86.6832,0,255,0.jpg
116,251,80.2590,0,255,0.jpg
117,428,134.0537,0,255,0.jpg
118,469,137.5586,0,255,0.jpg
119,517,94.2070,0,255,0.jpg
120,372,71.9758,0,255,0.jpg
121,265,76.0189,0,255,0.jpg
122,300,133.4500,0,255,0.jpg
123,660,111.6591,0,255,0.jpg
124,316,128.3070,0,255,0.jpg
125,259,91.5637,0,255,0.jpg
126,468,96.9872,0,255,0.jpg
127,440,90.4091,0,255,0.jpg
128,356,106.7275,0,255,0.jpg
129,501,99.2515,0,255,0.jpg
130,534,117.4719,0,255,0.jpg
131,302,111.4570,0,255,0.jpg
132,397,62.9471,0,255,0.jpg
133,803,109.5579,0,255,0.jpg
134,374,111.1364,0,255,0.jpg
135,572,119.9213,0,255,0.jpg
136,429,148.6014,0,255,0.jpg
137,551,140.6897,0,255,0.jpg
138,225,138.2667,0,255,0.jpg
139,564,89.0691,0,255,0.jpg
140,492,136.8293,0,255,0.jpg
141,485,150.8969,0,255,0.jpg
142,709,147.1016,0,255,0.jpg
143,313,62.7316,0,255,0.jpg
144,282,120.2660,0,255,0.jpg
145,722,128.2064,0,255,0.jpg
146,538,91.0037,0,255,0.jpg
147,301,86.4120,0,255,0.jpg
148,656,131.3872,0,255,0.jpg
149,320,102.0000,0,255,0.jpg
150,475,95.0211,0,255,0.jpg
151,259,89.5946,0,255,0.jpg
152,402,76.1194,0,255,0.jpg
153,490,152.4796,0,255,0.jpg
154,247,48.5223,0,255,0.jpg
155,561,93.1818,0,255,0.jpg
156,647,100.1082,0,255,0.jpg
157,328,106.5091,0,255,0.jpg
