 ,Area,Mean,Min,Max,Image
1,10.3416,48.5714,0,255,0.jpg
2,42.5977,70.7514,0,255,0.jpg
3,54.1705,108.9545,0,255,0.jpg
4,41.3666,131.2946,0,255,0.jpg
5,13.1733,81.0280,0,255,0.jpg
6,16.8667,44.6715,0,255,0.jpg
7,11.2034,50.4396,0,255,0.jpg
8,43.3364,93.4517,0,255,0.jpg
9,21.2989,134.1329,0,255,0.jpg
10,46.1681,89.0800,0,255,0.jpg
11,29.4244,94.9582,0,255,0.jpg
12,26.4697,47.4419,0,255,0.jpg
13,14.7738,0.0000,0,0,0.jpg
14,50.6002,87.4818,0,255,0.jpg
15,53.0625,97.6218,0,255,0.jpg
16,60.4494,106.4664,0,255,0.jpg
17,36.0726,52.2184,0,255,0.jpg
18,37.1807,59.1060,0,255,0.jpg
19,45.6756,114.0970,0,255,0.jpg
20,24.7461,83.7313,0,255,0.jpg
21,64.7584,98.8973,0,255,0.jpg
22,44.6907,61.1157,0,255,0.jpg
23,59.8338,85.0000,0,255,0.jpg
24,37.1807,81.9040,0,255,0.jpg
25,79.0397,74.2757,0,255,0.jpg
26,60.3263,91.0714,0,255,0.jpg
27,42.2284,71.3703,0,255,0.jpg
28,77.9317,83.7915,0,255,0.jpg
29,48.2610,83.2653,0,255,0.jpg
30,49.8615,103.8889,0,255,0.jpg
31,52.3238,120.6000,0,255,0.jpg
32,46.9067,78.3071,0,255,0.jpg
33,54.7861,89.3933,0,255,0.jpg
34,47.0299,110.8115,0,255,0.jpg
35,58.4795,119.1789,0,255,0.jpg
36,48.1379,68.4783,0,255,0.jpg
37,70.9141,84.1146,0,255,0.jpg
38,79.6553,124.5440,0,255,0.jpg
39,41.3666,100.9375,0,255,0.jpg
40,42.5977,83.2803,0,255,0.jpg
41,41.4897,45.4006,0,255,0.jpg
42,34.9646,34.1197,0,255,0.jpg
43,53.6781,117.5573,0,255,0.jpg
44,44.9369,87.3288,0,255,0.jpg
45,36.1958,165.6633,0,255,0.jpg
46,41.3666,98.6607,0,255,0.jpg
47,45.3062,133.7364,0,255,0.jpg
48,46.5374,145.7143,0,255,0.jpg
49,46.6605,62.5726,0,255,0.jpg
50,46.9067,82.3228,0,255,0.jpg
51,61.1881,92.3541,0,255,0.jpg
52,37.6731,80.0000,0,255,0.jpg
53,39.3967,130.6875,0,255,0.jpg
54,44.5676,82.4171,0,255,0.jpg
55,57.2484,123.9355,0,255,0.jpg
56,59.9569,86.3963,0,255,0.jpg
57,21.4220,55.6897,0,255,0.jpg
58,23.3918,84.5526,0,255,0.jpg
59,61.6805,70.7485,0,255,0.jpg
60,56.3866,94.6507,0,255,0.jpg
61,58.2333,53.9112,0,255,0.jpg
62,32.6254,86.6038,0,255,0.jpg
63,72.1453,73.5410,0,255,0.jpg
64,76.7005,71.6292,0,255,0.jpg
65,16.0049,60.8077,0,255,0.jpg
66,54.6630,99.3581,0,255,0.jpg
67,56.1404,99.5395,0,255,0.jpg
68,42.8440,99.6552,0,255,0.jpg
69,58.8489,70.9519,0,255,0.jpg
70,69.3136,59.7869,0,255,0.jpg
71,12.8039,68.6538,0,255,0.jpg
72,48.3841,81.7557,0,255,0.jpg
73,38.5349,91.2460,0,255,0.jpg
74,32.5023,92.7273,0,255,0.jpg
75,53.1856,88.5417,0,255,0.jpg
76,38.1656,99.5323,0,255,0.jpg
77,81.1327,80.8725,0,255,0.jpg
78,27.9471,43.8106,0,255,0.jpg
79,74.6076,93.4158,0,255,0.jpg
80,51.2158,95.6250,0,255,0.jpg
81,26.4697,90.1395,0,255,0.jpg
82,27.7008,109.9333,0,255,0.jpg
83,56.0172,124.4176,0,255,0.jpg
84,12.1884,38.6364,0,255,0.jpg
85,63.1579,106.8713,0,255,0.jpg
86,36.5651,105.6061,0,255,0.jpg
87,64.8815,100.1613,0,255,0.jpg
88,22.5300,119.8361,0,255,0.jpg
89,31.7636,59.3023,0,255,0.jpg
90,30.4094,125.9514,0,255,0.jpg
91,32.9948,90.3918,0,255,0.jpg
92,38.5349,70.0639,0,255,0.jpg
93,62.0499,87.5298,0,255,0.jpg
94,26.8390,43.2798,0,255,0.jpg
95,56.5097,81.1111,0,255,0.jpg
96,66.1127,73.6034,0,255,0.jpg
97,41.2435,94.3881,0,255,0.jpg
98,42.7208,36.0086,0,255,0.jpg
99,67.9594,140.8967,0,255,0.jpg
100,65.1277,93.0340,0,255,0.jpg
101,35.0877,104.6842,0,255,0.jpg
102,41.7359,80.4867,0,255,0.jpg
103,60.8187,83.1073,0,255,0.jpg
104,32.5023,58.9205,0,255,0.jpg
105,66.7282,98.8007,0,255,0.jpg
106,64.5122,99.2748,0,255,0.jpg
107,54.7861,50.4270,0,255,0.jpg
108,35.2108,66.8706,0,255,0.jpg
