 ,Area,Mean,Min,Max,Image
1,85,87.0000,0,255,0.jpg
2,346,84.7543,0,255,0.jpg
3,441,127.2109,0,255,0.jpg
4,336,150.2679,0,255,0.jpg
5,107,95.3271,0,255,0.jpg
6,137,61.4234,0,255,0.jpg
7,57,98.4211,0,255,0.jpg
8,91,81.2637,0,255,0.jpg
9,16,111.5625,0,255,0.jpg
10,352,106.4915,0,255,0.jpg
11,173,157.7168,0,255,0.jpg
12,375,103.3600,0,255,0.jpg
13,239,105.6276,0,255,0.jpg
14,25,0.0000,0,0,0.jpg
15,215,68.7907,0,255,0.jpg
16,120,0.0000,0,0,0.jpg
17,411,104.2336,0,255,0.jpg
18,431,118.3295,0,255,0.jpg
19,491,134.5112,0,255,0.jpg
20,293,75.7167,0,255,0.jpg
21,302,85.2815,0,255,0.jpg
22,372,128.1855,0,255,0.jpg
23,203,108.0296,0,255,0.jpg
24,526,110.5323,0,255,0.jpg
25,363,85.0000,0,255,0.jpg
26,486,99.1667,0,255,0.jpg
27,302,112.3013,0,255,0.jpg
28,642,95.7243,0,255,0.jpg
29,490,136.8673,0,255,0.jpg
30,343,86.2391,0,255,0.jpg
31,634,103.7697,0,255,0.jpg
32,393,105.1145,0,255,0.jpg
33,405,122.1481,0,255,0.jpg
34,425,142.2000,0,255,0.jpg
35,380,102.6711,0,255,0.jpg
36,445,142.1124,0,255,0.jpg
37,382,129.5026,0,255,0.jpg
38,476,147.3214,0,255,0.jpg
39,391,80.2174,0,255,0.jpg
40,576,115.5469,0,255,0.jpg
41,648,140.0926,0,255,0.jpg
42,336,129.7768,0,255,0.jpg
43,346,91.3873,0,255,0.jpg
44,337,79.4510,0,255,0.jpg
45,284,68.2394,0,255,0.jpg
46,436,129.8394,0,255,0.jpg
47,365,102.6986,0,255,0.jpg
48,294,196.0204,0,255,0.jpg
49,336,113.0804,0,255,0.jpg
50,368,154.5245,0,255,0.jpg
51,378,165.2778,0,255,0.jpg
52,380,77.8421,0,255,0.jpg
53,381,108.4252,0,255,0.jpg
54,497,107.7465,0,255,0.jpg
55,307,102.1661,0,255,0.jpg
56,320,152.2031,0,255,0.jpg
57,362,101.4365,0,255,0.jpg
58,465,148.0645,0,255,0.jpg
59,488,95.1025,0,255,0.jpg
60,175,74.3143,0,255,0.jpg
61,190,102.0000,0,255,0.jpg
62,501,89.5808,0,255,0.jpg
63,460,123.6196,0,255,0.jpg
64,473,66.3108,0,255,0.jpg
65,265,104.8868,0,255,0.jpg
66,586,98.3447,0,255,0.jpg
67,624,81.3221,0,255,0.jpg
68,130,80.4231,0,255,0.jpg
69,444,109.6959,0,255,0.jpg
70,456,126.9408,0,255,0.jpg
71,349,111.0602,0,255,0.jpg
72,478,89.6234,0,255,0.jpg
73,563,75.1865,0,255,0.jpg
74,105,92.2857,0,255,0.jpg
75,82,90.1829,0,255,0.jpg
76,393,99.2748,0,255,0.jpg
77,311,115.6109,0,255,0.jpg
78,265,111.6226,0,255,0.jpg
79,433,120.7275,0,255,0.jpg
80,310,120.0968,0,255,0.jpg
81,659,97.5114,0,255,0.jpg
82,226,62.0575,0,255,0.jpg
83,607,110.4860,0,255,0.jpg
84,416,110.9495,0,255,0.jpg
85,216,101.5278,0,255,0.jpg
86,225,133.7333,0,255,0.jpg
87,455,145.1538,0,255,0.jpg
88,99,64.3939,0,255,0.jpg
89,513,117.8070,0,255,0.jpg
90,528,125.0852,0,255,0.jpg
91,297,124.4949,0,255,0.jpg
92,184,138.5870,0,255,0.jpg
93,258,96.8605,0,255,0.jpg
94,247,145.5668,0,255,0.jpg
95,268,106.5672,0,255,0.jpg
96,313,87.1725,0,255,0.jpg
97,504,135.0893,0,255,0.jpg
98,218,52.6376,0,255,0.jpg
99,538,80.5762,0,255,0.jpg
100,460,109.7609,0,255,0.jpg
101,335,102.7612,0,255,0.jpg
102,346,53.8006,0,255,0.jpg
103,552,157.5272,0,255,0.jpg
104,529,109.4234,0,255,0.jpg
105,285,155.6842,0,255,0.jpg
106,339,118.8496,0,255,0.jpg
107,494,94.4636,0,255,0.jpg
108,264,71.4773,0,255,0.jpg
109,542,117.1494,0,255,0.jpg
110,524,169.8378,0,255,0.jpg
111,446,69.7534,0,255,0.jpg
