 ,Area,Mean,Min,Max,Image
1,34,-1.8481,-9.1463,4.8017,1.JPG
2,218,6.2459,-25.2262,32.2679,1.JPG
3,87,22.1102,-5.9103,44.4146,1.JPG
4,512,31.7629,-2.8492,58.4862,1.JPG
5,222,16.0609,-7.3130,41.6149,1.JPG
6,243,0.3810,-10.3764,14.9815,1.JPG
7,409,19.6039,-2.4816,43.8729,1.JPG
8,475,25.0404,-11.2148,51.1409,1.JPG
9,646,23.0025,-19.5770,53.9346,1.JPG
10,58,-3.0128,-6.6151,0.3511,1.JPG
11,379,22.3973,-4.5403,44.2538,1.JPG
12,542,5.6729,-16.1248,30.2260,1.JPG
13,722,11.1707,-25.6378,41.3647,1.JPG
14,441,18.6632,-13.4742,50.3735,1.JPG
15,362,0.5014,-16.7695,11.9363,1.JPG
16,413,20.0649,-10.6464,50.3147,1.JPG
17,1031,11.4915,-41.0700,63.3154,1.JPG
18,52,-1.7521,-5.0112,1.3653,1.JPG
19,1248,12.6421,-34.1917,47.9223,1.JPG
20,208,17.2603,-10.3188,34.2951,1.JPG
21,469,17.0251,-10.2985,42.6933,1.JPG
22,1436,16.5190,-22.6565,53.5005,1.JPG
23,26,-0.1125,-3.5291,2.7944,1.JPG
24,312,20.7692,-3.3841,48.4379,1.JPG
25,254,10.8492,-18.9294,38.7987,1.JPG
26,465,14.4274,-5.5960,39.0270,1.JPG
27,151,11.7031,0.1086,19.5042,1.JPG
28,506,10.7696,-35.5648,48.2988,1.JPG
29,1100,11.8150,-18.3515,48.7046,1.JPG
30,694,16.9330,-10.0386,53.5907,1.JPG
31,742,18.6579,-25.2354,53.4509,1.JPG
32,528,10.3312,-16.3500,39.1413,1.JPG
33,456,23.8153,-14.2447,51.9448,1.JPG
34,197,12.9528,-2.8029,31.7327,1.JPG
35,163,-7.9507,-22.9915,8.4838,1.JPG
36,428,15.7763,-39.5190,49.8760,1.JPG
37,661,5.5125,-19.4190,22.0429,1.JPG
38,437,11.8768,-6.6250,40.4243,1.JPG
39,374,26.4369,-2.2235,47.3221,1.JPG
40,735,14.1131,-31.1123,48.0470,1.JPG
41,457,20.8618,-7.4982,47.4461,1.JPG
42,448,13.4790,-8.9640,39.9702,1.JPG
43,19,1.5542,-0.1167,2.1293,1.JPG
44,447,25.7182,-8.2993,48.0184,1.JPG
45,566,17.5134,-19.8742,49.5109,1.JPG
46,435,21.1420,-9.8876,55.1702,1.JPG
47,361,22.8614,-5.5267,46.1725,1.JPG
48,766,9.6070,-21.9277,44.6181,1.JPG
49,244,-14.0627,-49.8417,17.2935,1.JPG
50,566,19.7863,-9.0031,48.5035,1.JPG
51,763,22.4481,-7.6757,49.4113,1.JPG
52,539,19.3094,-22.2260,51.0314,1.JPG
53,250,12.2113,-1.7760,23.3633,1.JPG
54,477,3.9437,-18.0135,19.2005,1.JPG
55,541,22.8413,-10.6948,49.2030,1.JPG
56,472,10.7026,-5.4067,32.4637,1.JPG
57,99,-20.3102,-29.5893,-7.4608,1.JPG
58,141,-0.2165,-7.2098,13.7003,1.JPG
59,557,12.4941,-10.4708,43.4916,1.JPG
60,340,19.8765,-10.0075,42.7090,1.JPG
61,321,20.8560,-2.1564,41.1029,1.JPG
62,426,14.3952,-56.5359,66.3456,1.JPG
63,420,4.6402,-16.6931,27.4983,1.JPG
64,402,18.0484,-28.0799,43.9660,1.JPG
65,248,16.1674,-8.4777,46.2045,1.JPG
66,281,6.2188,-5.7961,14.5859,1.JPG
67,479,16.7997,-17.9547,43.0530,1.JPG
68,75,-4.0815,-12.7934,3.2949,1.JPG
69,463,9.9001,-8.8574,44.7376,1.JPG
70,200,9.7644,-3.9014,25.1752,1.JPG
71,372,15.6015,-7.8789,42.6167,1.JPG
72,359,6.7330,-32.3172,36.8713,1.JPG
73,345,4.8675,-28.5873,44.8788,1.JPG
74,18,2.9518,-1.5855,5.3745,1.JPG
75,266,16.1702,-8.9477,40.1452,1.JPG
76,731,18.3665,-23.3284,56.2078,1.JPG
77,296,23.0071,0.1293,45.4711,1.JPG
78,292,5.0678,-8.4393,16.4103,1.JPG
79,594,21.5745,-12.1551,53.5903,1.JPG
80,340,1.9270,-13.1809,16.5776,1.JPG
81,314,19.3362,-13.4170,46.4960,1.JPG
82,766,12.3425,-15.4201,39.3883,1.JPG
83,81,2.8164,-8.8250,9.4174,1.JPG
84,70,24.2691,3.8295,42.8189,1.JPG
85,581,10.0995,-16.8244,46.3067,1.JPG
86,298,10.4294,-12.6005,28.9174,1.JPG
87,78,-36.8093,-59.8300,-4.8598,1.JPG
88,967,13.6198,-6.0684,40.9355,1.JPG
89,284,13.4687,-16.4575,44.5422,1.JPG
90,173,-16.9620,-57.3950,35.9142,1.JPG
91,341,19.1720,-7.5649,50.0376,1.JPG
92,352,26.0854,-5.7500,50.5889,1.JPG
93,682,16.2103,-16.8566,59.5990,1.JPG
94,550,11.0366,-13.0370,43.3928,1.JPG
95,118,-2.7039,-5.1551,1.8446,1.JPG
96,242,11.9595,-7.8199,31.2878,1.JPG
97,313,16.6796,-8.9418,46.3449,1.JPG
98,417,10.1448,-20.6056,47.5944,1.JPG
99,58,-11.7697,-24.5532,1.6105,1.JPG
100,260,20.5779,1.3940,42.2381,1.JPG
101,204,11.7976,-3.9927,24.8818,1.JPG
102,617,12.4175,-25.6782,56.3917,1.JPG
103,730,15.6231,-12.8016,45.3861,1.JPG
104,273,5.0462,-16.7806,23.6984,1.JPG
105,443,15.4750,-8.0656,34.9138,1.JPG
106,515,15.1899,-12.7605,48.7660,1.JPG
107,362,-8.8131,-36.3281,6.2774,1.JPG
108,450,22.4518,-8.4520,43.2245,1.JPG
109,290,17.4631,-9.0381,46.5689,1.JPG
110,315,18.7217,-9.4627,50.7618,1.JPG
111,566,12.9990,-10.1229,45.2982,1.JPG
112,461,17.8450,-5.1592,42.6678,1.JPG
113,999,16.8426,-27.1067,55.6772,1.JPG
114,461,24.2850,-5.1753,47.2535,1.JPG
115,316,6.8630,-21.9101,36.1341,1.JPG
116,242,19.1738,-1.9300,41.7027,1.JPG
117,313,13.9212,-35.7987,56.9633,1.JPG
118,500,22.4478,-10.3962,63.1583,1.JPG
119,564,13.2305,-15.2800,55.6561,1.JPG
120,377,20.6540,-6.8840,49.1114,1.JPG
121,239,9.5123,-11.2718,25.7892,1.JPG
122,301,22.2212,-8.1433,41.2753,1.JPG
123,565,20.5508,-10.3509,49.9977,1.JPG
124,485,20.7246,-10.1170,49.1902,1.JPG
125,646,19.7307,-11.4809,51.8888,1.JPG
126,178,-18.7975,-42.0822,11.1528,1.JPG
127,441,12.2944,-0.8768,42.9998,1.JPG
128,398,8.8134,-18.0465,37.2758,1.JPG
129,470,17.6741,-25.0216,55.2061,1.JPG
130,585,18.3812,-17.1445,51.7167,1.JPG
131,344,19.8164,-7.6094,51.5516,1.JPG
132,231,12.3178,-6.3055,41.6364,1.JPG
133,509,15.9708,-18.3171,48.6271,1.JPG
134,685,25.8223,-9.8210,57.5735,1.JPG
135,293,4.3106,-16.7348,22.2734,1.JPG
136,481,19.5480,-7.0140,40.9616,1.JPG
137,321,16.9454,-7.5708,44.1005,1.JPG
138,106,-15.5726,-27.9014,-2.6727,1.JPG
139,291,16.0152,-6.2380,43.7834,1.JPG
140,360,18.5961,-10.5369,48.1641,1.JPG
141,214,7.7309,-13.3097,23.6894,1.JPG
142,419,19.1953,-13.7443,44.4921,1.JPG
143,382,25.3421,-5.7413,47.9296,1.JPG
144,631,16.1687,-10.6137,44.4237,1.JPG
145,618,-1.0235,-35.5525,17.5002,1.JPG
146,445,23.4049,-10.8741,50.9449,1.JPG
147,190,0.5036,-67.0527,62.0844,1.JPG
148,458,17.9344,-6.0540,46.8548,1.JPG
149,207,-0.7446,-10.2822,14.4271,1.JPG
150,383,5.7340,-49.2781,51.9453,1.JPG
151,546,13.6995,-10.1262,41.1144,1.JPG
152,210,1.1070,-14.4876,13.5228,1.JPG
153,404,17.1776,-3.9093,44.3929,1.JPG
154,280,8.7790,-44.2433,52.8514,1.JPG
155,200,13.3017,-3.1555,39.5375,1.JPG
156,315,28.8547,-4.8770,55.8332,1.JPG
157,565,26.7457,-9.4383,53.1803,1.JPG
158,604,5.6187,-42.1763,41.6597,1.JPG
159,322,22.6712,-10.3611,46.0633,1.JPG
160,801,7.3060,-30.0155,29.0327,1.JPG
161,412,14.7542,-17.1658,53.3807,1.JPG
162,227,5.3285,-10.5622,34.9553,1.JPG
163,332,13.2970,-8.7992,38.9196,1.JPG
164,615,24.1365,-16.0934,52.9553,1.JPG
165,269,24.3199,-3.4290,52.4245,1.JPG
166,245,13.1326,1.4993,35.7456,1.JPG
167,359,20.3689,-22.2761,56.2235,1.JPG
168,919,11.1933,-4.3793,35.6466,1.JPG
169,388,21.8250,-11.4075,50.9357,1.JPG
170,486,15.6728,-7.6428,40.2167,1.JPG
171,396,18.0560,-7.6430,44.2773,1.JPG
172,527,14.0002,-16.6187,40.8122,1.JPG
173,224,17.9967,-31.9908,54.6529,1.JPG
174,387,19.0235,-6.9476,39.9612,1.JPG
175,1338,11.5362,-44.7468,54.0447,1.JPG
176,784,19.7308,-18.8268,56.5191,1.JPG
177,442,22.3977,-8.2996,43.6207,1.JPG
178,171,6.8091,-17.2347,19.1253,1.JPG
179,344,16.6746,-6.9804,43.3699,1.JPG
180,494,25.7140,-4.9871,54.7167,1.JPG
181,611,12.3008,-12.1999,44.2112,1.JPG
182,314,22.7378,-4.8636,50.8716,1.JPG
183,313,24.4793,-0.3434,49.8857,1.JPG
184,199,15.0329,-4.8578,36.2824,1.JPG
